"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P04F26","story2_bright1_skinnende",0.101890466313276,"story2_bright1","bright","story2",7,4,1
"P04F26","story2_bright1_belysningen",0.0433245542575588,"story2_bright1","bright","story2",7,4,2
"P04F26","story2_bright1_spotlysene",0.031877736368427,"story2_bright1","bright","story2",7,4,3
"P04F26","story2_bright1_lampenes",-0.134548034616545,"story2_bright1","bright","story2",7,4,4
"P04F26","story2_bright1_opplysning",-0.128506242327764,"story2_bright1","bright","story2",7,4,5
"P04F26","story2_bright1_hvite_2",-0.188487182241841,"story2_bright1","bright","story2",7,4,6
"P04F26","story2_bright1_klareheten",-0.196696193045581,"story2_bright1","bright","story2",7,4,7
"P04F26","story2_bright1_lyskilden",-0.176361884214567,"story2_bright1","bright","story2",7,4,8
"P04F26","story2_bright1_strålende_3",-0.157956743634755,"story2_bright1","bright","story2",7,4,9
"P04F26","story2_bright1_lysstyrken",-0.0913381082500652,"story2_bright1","bright","story2",7,4,10
"P04F26","story2_bright2_fyrlykt",0.16740100475945,"story2_bright2","bright","story2",7,4,1
"P04F26","story2_bright2_gjennomskinnelig",0.0142955951733635,"story2_bright2","bright","story2",7,4,2
"P04F26","story2_bright2_lys",0.0135294908700357,"story2_bright2","bright","story2",7,4,3
"P04F26","story2_bright2_opplyste",-0.0651389870716556,"story2_bright2","bright","story2",7,4,4
"P04F26","story2_bright2_skimrende",-0.157670483684857,"story2_bright2","bright","story2",7,4,5
"P04F26","story2_bright2_strålene",-0.159268257071398,"story2_bright2","bright","story2",7,4,6
"P04F26","story2_bright2_gløden",-0.203264708158043,"story2_bright2","bright","story2",7,4,7
"P04F26","story2_bright2_lampene",-0.234829906439343,"story2_bright2","bright","story2",7,4,8
"P04F26","story2_bright2_gylne",-0.132639928206789,"story2_bright2","bright","story2",7,4,9
"P04F26","story2_bright2_glansen",-0.136441144561088,"story2_bright2","bright","story2",7,4,10
"P04F26","story2_dark_ugjennomsiktig",0.166676164950638,"story2_dark","dark","story2",7,4,1
"P04F26","story2_dark_mørke",0.170475625876902,"story2_dark","dark","story2",7,4,2
"P04F26","story2_dark_beksvart",0.0351725153123097,"story2_dark","dark","story2",7,4,3
"P04F26","story2_dark_svartheten",0.00614872587183885,"story2_dark","dark","story2",7,4,4
